block_height,txs
3400,0,1621573511.704
3401,0,1.038
3402,0,1.038
3403,8,1.038
3404,43,1.037
3405,34,1.045
3406,0,1.045
3407,23,1.037
3408,39,1.044
3409,17,1.023
3410,0,1.025
3411,42,1.053
3412,44,1.045
3413,31,1.036
3414,28,1.045
3415,29,1.045
3416,42,1.044
3417,0,1.053
3418,12,1.039
3419,51,1.045
3420,14,1.044
3421,0,1.044
3422,44,1.044
3423,30,1.037
3424,0,1.046
3425,36,1.045
3426,48,1.049
3427,32,1.04
3428,22,1.053
3429,30,1.044
3430,50,1.044
3431,15,1.045
3432,12,1.037
3433,51,1.044
3434,7,1.052
3435,0,1.037
3436,51,1.045
3437,22,1.046
3438,0,1.038
3439,45,1.045
3440,33,1.045
3441,0,1.032
3442,30,1.053
3443,46,1.037
3444,19,1.024
3445,17,1.037
3446,41,1.036
3447,40,1.045
3448,19,1.045
3449,20,1.036
3450,47,1.039
3451,31,1.031
3452,4,1.045
3453,42,1.039
3454,29,1.046
3455,0,1.044
3456,28,1.036
3457,49,1.052
3458,0,1.045
3459,15,1.045
3460,53,1.045
3461,20,1.052
3462,6,1.037
3463,53,1.045
3464,31,1.046
3465,10,1.046
3466,41,1.036
3467,32,1.053
3468,26,1.041
3469,29,1.032
3470,28,1.045
3471,36,1.045
3472,23,1.037
3473,0,1.045
3474,35,1.037
3475,42,1.038
3476,0,1.045
3477,19,1.045
3478,46,1.045
3479,43,1.038
3480,12,1.045
3481,36,1.036
3482,39,1.044
3483,34,1.037
3484,0,1.044
3485,21,1.044
3486,43,1.052
3487,13,1.036
3488,0,1.038
3489,41,1.043
3490,38,1.053
3491,39,1.029
3492,14,1.024
3493,30,1.046
3494,42,1.044
3495,33,1.038
3496,0,1.045
3497,20,1.044
3498,46,1.044
3499,38,1.047
3500,20,1.044
3501,40,1.052
3502,40,1.017
3503,34,1.041
3504,0,1.046
3505,32,1.036
3506,49,1.045
3507,0,1.045
3508,18,1.045
3509,51,1.038
3510,7,1.046
3511,0,1.044
3512,49,1.044
3513,30,1.053
3514,24,1.036
3515,42,1.046
3516,22,1.045
3517,43,1.045
3518,13,1.044
3519,24,1.045
3520,47,1.037
3521,2,1.037
3522,11,1.045
3523,48,1.044
3524,9,1.044
3525,0,1.037
3526,49,1.045
3527,26,1.044
3528,0,1.045
3529,37,1.045
3530,37,1.052
3531,0,1.046
3532,0,1.045
3533,0,1.029
3534,0,1.044
3535,0,1.045
3536,0,1.037
3537,0,1.044
3538,0,1.046
